?No he podido pagar con mi tarjeta, que debo hacer?	No puedo pagar mi pedido con mi tarjeta.	1
"?Por qué aparece ""no pagado"" cuando el pago ya ha sido deducido en mi tarjeta?"	He pagado por transferencia bancaria, pero el pago no ha sido recibido.	0
?Cuándo recibiré mi reembolso si pago con tarjeta de crédito?	¿Cuándo recibiré el reembolso si cancelo mi pedido?	0
?Qué pasará después de abrir una disputa?	¿Qué pasará después de haber enviado mi solicitud de Servicio de Garantía?	0
El producto que he recibido no corresponde con la descripción. ?Qué puedo hacer?	He recibido un producto que no funciona.	0
?Por qué se ha cerrado mi pedido?	¿Por qué mi pedido está cerrado por Pedido rechazado?	0
?Por qué no puedo realizar un pedido?	¿Puedo cancelar un pedido pagado por adelantado?	0
?Por qué mi pago está deducido incorrectamente?	¿Por qué mi pago está deducido incorrectamente?	1
?Como puedo pagar con mi tarjeta de credito/debito?	No puedo pagar mi pedido con tarjeta Visa de débito, ¿qué puedo hacer?	0
?Por qué mi pedido está en verificación tras el pago?	¿En qué etapa está mi pedido?	0
?Cómo puedo recibir un reembolso con la tarjeta de crédito?	¿Cómo pago con mi tarjeta de crédito?	0
?Cómo puedo recibir un reembolso con la tarjeta de crédito?	No puedo recibir dinero en mi tarjeta de crédito.	0
?Cómo puedo recibir un reembolso con la tarjeta de crédito?	¿Puedo hacer pagos con tarjeta de crédito?	0
?Como puedo pagar mediante Mercado Pago?	¿Puedo enviar un cheque como método de pago?	0
El producto recibido no es bueno, no funciona, ?qué puedo hacer?	¿Qué puedo hacer si el producto pedido no está disponible?	0
?Puedo cambiar los detalles del pedido (tamaño, envío, etc)?	¿Cuáles son los detalles del producto?	0
?Puedo cambiar los detalles del pedido (tamaño, envío, etc)?	¿Puedo cambiar mi envío a envío gratuito?	0
?Qué es la Protección del Comprador?	¿Qué es la Protección del Comprador?	1
?Cómo pagar el pedido mediante Transferencia Bancaria?	¿Cómo procedemos a pagar por transferencia bancaria?	1
?Puedo cancelar un pedido de pre-venta?	¿Puedo cancelar un pedido pagado?	0
El nombre o la contraseña de su cuenta es incorrecto.	¿Cuál es el número IBAN de la cuenta?	0
?Cómo cambio mi dirección de email?	¿Cómo cambio mi dirección de email?	1
?Por qué no se ha pagado mi pedido?	He pagado y mi pedido ha sido cancelado por email.	0
?Cómo recuperar un cupón?	Tengo un cupón, ¿cómo lo uso en mi nuevo pedido?	0
?Por qué me sale un error al intentar pagar?	¿Qué puedo hacer si he hecho un pedido por error?	0
?Por qué el pago ha sido deducido dos veces?	¿Por qué mi pago se ha hecho dos veces?	1
no he recibido el reembolso	He recibido tanto la mercancía como el reembolso completo.	0
?Cómo puedo combinar varios pedidos en un solo pago?	¿Puedo combinar mensajes de diferentes pedidos?	0
?Cómo fijo mi dirección de entrega?	He introducido una dirección de entrega incorrecta.	0
?Cómo puedo confirmar la entrega una vez que he recibido mi pedido?	Confirmar pedido recibido.	1
?Cómo puedo denunciar a un vendedor/producto?	¿Cómo denunciar vulneración de marca?	0
?Cómo elimino un pedido?	¿Cómo elimino mi información?	0
?Cómo ponerse en contacto con el equipo de disputas?	¿Cómo puedo ponerme en contacto con el vendedor?	0
El pedido se canceló ?cuánto tiempo será necesario para que el dinero esté en mi tarjeta de crédito?	No entendí la forma en la que el dinero será reembolsado.	0
El pedido se canceló ?cuánto tiempo será necesario para que el dinero esté en mi tarjeta de crédito?	¿Recibiré mi dinero de vuelta si se cancela el pedido?	0
?Hola! Quiero realizar un seguimiento de mi pedido, ?cómo puedo saber el número de seguimiento?	Quiero mi número de seguimiento.	1
Deseo comunicarme con un supervisor	Quiero hablar con un humano.	1
Dice que el sistema no está disponible intentar más tarde	Intento pagar, pero dice que el sistema no está disponible.	0
Dice que el sistema no está disponible intentar más tarde	Sistema no disponible, intente de nuevo más tarde.	1
?Cómo puedo pagar con WebMoney?	¿Cómo pagar a través de WebMoney?	1
?Cómo puedo pagar con WebMoney?	¿Cómo puedo pagar con Western Union?	0
El sistema no está dispnible, inténtalo de nuevo más tarde	El servicio no está disponible. Por favor, inténtelo de nuevo más tarde.	1
?Cómo puedo pagar en mi moneda local?	¿Cómo puedo pagar todos mis productos en la cesta de la compra en un solo pago?	0
?Cómo puedo pagar en mi moneda local?	¿Cómo puedo pagar con iDeal?	0
?Cuánto tiempo se tarda en obtener un reembolso completo?	¿Cuánto tarda en entregarse?	0
?Por qué tengo un cargo en mi tarjeta de crédito cuando yo no tenía un pedido?	Me cobraron en mi tarjeta de crédito cuando yo nunca les he comprado nada.	1
Abrí una disputa y ?qué debo hacer a continuación?	He abierto una disputa, ¿qué puedo hacer después?	1
no he recibido mi reembolso	No he recibido mi paquete.	0
donde esta el dinero de mi pedido de rembolso	¿Recibiré mi dinero de vuelta si se cancela el pedido?	0
?Cómo reviso una valoración?	¿Cómo dejo una valoración sobre los productos?	0
?Que son las Devoluciones Locales?	¿Qué son las Devoluciones domésticas?	1
?Que son las Devoluciones Locales?	¿Las zapatillas Jordan son réplicas?	0
?Cuándo se me devolverá mi dinero de un pedido cancelado?	¿Se me devolverá el cupón?	0
